entry_time,exit_time,code,size,entry_price,exit_price,fee,tax,pnl
2023-06-05 09:35:21,2023-06-05 09:36:00,TXFF3,-1,16681,16702.0,100,134,-4434.0
2023-06-05 09:40:04,2023-06-05 10:41:13,TXFF3,-1,16718,16738.0,100,134,-4234.0
2023-06-05 12:30:02,2023-06-05 13:26:34,TXFF3,-1,16710,16669.0,100,134,7966.0
2023-06-08 10:50:02,2023-06-08 11:30:06,TXFF3,-1,16799,16758.0,100,134,7966.0
2023-06-08 12:00:02,2023-06-08 12:41:57,TXFF3,-1,16743,16702.0,100,134,7966.0
2023-06-08 12:45:02,2023-06-08 13:30:01,TXFF3,-1,16695,16713.0,100,134,-3834.0
2023-06-09 10:10:01,2023-06-09 10:21:34,TXFF3,1,16867,16847.0,100,134,-4234.0
2023-06-09 10:25:03,2023-06-09 10:57:02,TXFF3,1,16843,16884.0,100,135,7965.0
2023-06-09 12:00:03,2023-06-09 13:30:02,TXFF3,-1,16855,16855.0,100,134,-234.0
2023-06-12 09:30:06,2023-06-12 09:59:53,TXFF3,1,16919,16960.0,100,136,7964.0
2023-06-12 10:00:04,2023-06-12 10:41:51,TXFF3,1,16965,16943.0,100,136,-4636.0
2023-06-12 11:10:02,2023-06-12 11:22:14,TXFF3,-1,16959,16979.0,100,136,-4236.0
2023-06-12 11:50:02,2023-06-12 12:17:00,TXFF3,1,16962,16942.0,100,136,-4236.0
2023-06-12 12:40:01,2023-06-12 13:30:02,TXFF3,-1,16928,16944.0,100,136,-3436.0
2023-06-13 09:40:02,2023-06-13 09:50:18,TXFF3,1,17158,17183.0,100,138,4762.0
2023-06-13 09:55:02,2023-06-13 11:22:56,TXFF3,1,17188,17229.0,100,138,7962.0
2023-06-13 11:30:02,2023-06-13 12:02:44,TXFF3,1,17233,17258.0,100,138,4762.0
2023-06-13 12:05:03,2023-06-13 12:21:50,TXFF3,1,17257,17237.0,100,138,-4238.0
2023-06-13 12:40:04,2023-06-13 13:30:01,TXFF3,-1,17221,17218.0,100,138,362.0
2023-06-14 09:35:03,2023-06-14 10:15:06,TXFF3,-1,17210,17185.0,100,138,4762.0
2023-06-14 10:20:02,2023-06-14 10:40:18,TXFF3,1,17199,17179.0,100,138,-4238.0
2023-06-15 09:30:04,2023-06-15 09:36:17,TXFF3,1,17249,17289.0,100,138,7762.0
2023-06-15 09:40:04,2023-06-15 09:49:01,TXFF3,1,17298,17275.0,100,138,-4838.0
2023-06-15 09:50:01,2023-06-15 10:00:10,TXFF3,1,17277,17256.0,100,138,-4438.0
2023-06-15 10:20:03,2023-06-15 11:28:23,TXFF3,1,17266,17307.0,100,138,7962.0
2023-06-15 11:55:03,2023-06-15 12:22:25,TXFF3,1,17317,17297.0,100,138,-4238.0
2023-06-15 12:25:03,2023-06-15 13:30:02,TXFF3,1,17304,17325.0,100,138,3962.0
2023-06-16 10:20:03,2023-06-16 10:26:31,TXFF3,-1,17261,17282.0,100,138,-4438.0
2023-06-16 10:30:01,2023-06-16 11:03:29,TXFF3,-1,17260,17280.0,100,138,-4238.0
2023-06-16 12:10:01,2023-06-16 12:40:20,TXFF3,1,17305,17285.0,100,138,-4238.0
2023-06-16 12:55:02,2023-06-16 13:25:08,TXFF3,-1,17262,17282.0,100,138,-4238.0
